job,company_name,location,job_type,description,link,date
Process Engineer,BNP Paribas,Maroc,Permanent,Proposer des solutions en accord avec les contraintes et besoins des business analysts et managers de Finance.-Excellentes capacités d'analyse et de synthèse.,https://ma.indeed.com/rc/clk?jk=c1405b00ea175b81&fccid=1392500f835bba92&vjs=3,28/10/2023
Customer data intelligence,Orange Business,Salé,None,"Sur les travaux d’une équipe de data Analysts qui traite la donnée, délivre des analyses (flux de transformations inter-offres par ex.), produit des KPI.(suivi…",https://ma.indeed.com/rc/clk?jk=fd7656c20cee4e0c&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Business Analyst (Game Operations),Garena,Casablanca,None,"1+ year of experience in a product, data-based, or business analyst role, preferably within the tech industry.-Willing to travel around if required.",https://ma.indeed.com/rc/clk?jk=bc0137ce810f67bf&fccid=2aa3fa695ba957e4&vjs=3,28/10/2023
Functional Test Analyst,Capgemini,Casablanca,Permanent,"Creating of test data, writing of procedures.-Performing an overall analysis and evaluation of user requirements, specifications and modules.",https://ma.indeed.com/rc/clk?jk=055141029e7e1451&fccid=105ecfd0283f415f&vjs=3,28/10/2023
Business Analyst Data,Orange Business,Salé,None,Une expérience très enrichissante au cœur de la data et des parcours clients vous attend.-#Data #Customer #Digital #Agile #Stratégie.,https://ma.indeed.com/rc/clk?jk=a565d0296110ad45&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Data Manager,BNP Paribas,Casablanca,Permanent,"Ainsi, elle assure la gestion applicative, la gestion de l'infrastructure serveur et du Réseau & Télécom, la gestion du parc informatique, en plus des activités…",https://ma.indeed.com/rc/clk?jk=2302776521f549ee&fccid=1392500f835bba92&vjs=3,28/10/2023
CONTINUOUS IMPROVEMENT ANALYST,TE Connectivity,Tanger Ibn Battouta Airport,None,"Analytically minded and data driven.-TE Connectivity's Continuous Improvement Teams design and implement programs and projects to improve products, services, or…",https://ma.indeed.com/rc/clk?jk=9dbe57c30cb217f8&fccid=adb7c04d7caa1bd2&vjs=3,28/10/2023
IT OPERATIONS ANALYST,TE Connectivity,Tanger Ibn Battouta Airport,None,TE Connectivity’s IT Operations Teams support hardware installation and configuration and ongoing maintenance of the computer/data center.,https://ma.indeed.com/rc/clk?jk=52268fa3c010279d&fccid=adb7c04d7caa1bd2&vjs=3,28/10/2023
FINANCE ANALYST II - PLANT OPERATIONS,TE Connectivity,Tanger Ibn Battouta Airport,None,Experiences in master data recording and maintenance is a plus.-Provide service and support in terms of analysis and data to plant Management & Functional…,https://ma.indeed.com/rc/clk?jk=c12117dfd504a155&fccid=adb7c04d7caa1bd2&vjs=3,28/10/2023
Data Analyst Senior - Casablanca,Sofrecom Maroc,Casablanca,None,"Pour accompagner la croissance de nos équipe Data, nous recrutons un Data analyst senior, au niveau du centre de services international de Casablanca.",https://ma.indeed.com/rc/clk?jk=48046e1948b4b844&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
"Consultant Data Engineer, SPARK, SCALA & JAVA – F/H",Cat Amania,Rabat,None,"Définir et produire les scripts de traitements de données structurées ou NO-SQL: Data Prep, Data Quality Management, Calculs et traitements de données en mode…",https://ma.indeed.com/rc/clk?jk=319f0e691416008c&fccid=c43504f9e7ca2d7c&vjs=3,28/10/2023
Analystes Performances des Applications et des...,Trusted Advisors,Casablanca,None,"La mission est réalisée au sein du service ""Data , Agile et Devops"".-Apporter une expertise sur les projets auxquels il est associé,.",https://ma.indeed.com/rc/clk?jk=b4326f43d29bbd87&fccid=52c3f2e2cdde3448&vjs=3,28/10/2023
Supply Chain Analyst,TE Connectivity,Tanger,None,"Respond to customer data requests e.g. packaging dimensions, weights, Country of Origin, MOQ/PPQ etc.-TE Connectivity's Distribution & Logistics Teams manage…",https://ma.indeed.com/rc/clk?jk=a7ef1e77f230f8c1&fccid=adb7c04d7caa1bd2&vjs=3,28/10/2023
IT Project - Product Manager,Procter & Gamble,Casablanca,Full-time,"Experience in advance analytics & big data,.-Previous experience/understanding in data models and visualization.-PMP Certification is a plus.",https://ma.indeed.com/rc/clk?jk=c4937bf1128ec895&fccid=2da0dedf6df97194&vjs=3,28/10/2023
FINANCIAL ANALYST,TE Connectivity,Tanger,None,Provide service and support in terms of analysis and data to functional leaders on the non plant areas.-TE Connectivity's Finance Teams are responsible for…,https://ma.indeed.com/rc/clk?jk=4abd804a8120e080&fccid=adb7c04d7caa1bd2&vjs=3,28/10/2023
STRATEGIC SOURCING ANALYST III,TE Connectivity,Tanger Ibn Battouta Airport,None,"Strong data mining and analysis skill-set.-TE Connectivity's Strategic Sourcing Teams develop and implement multi-year strategies for assigned commodities,…",https://ma.indeed.com/rc/clk?jk=9a92bc455deb8a53&fccid=adb7c04d7caa1bd2&vjs=3,28/10/2023
Load and DER Forecasting - Distribution Planning Researchers,Electric Power Research Institute,Remote,Full-time,Developing methods to leverage new data to improve planning load and DER forecasts.-Methods and data to develop granular load and DER forecasts for distribution…,https://ma.indeed.com/rc/clk?jk=785e5dfa8de30bb2&fccid=71084fa2202b6e9d&vjs=3,28/10/2023
QA Analyst,Moody's,Casablanca,Full-time,"Experience or exposure to AWS cloud services (S3, Athena, DynamoDB, Lambdas, Step Functions, Glue Jobs…) and cloud data warehouses (Snowflake).",https://ma.indeed.com/rc/clk?jk=cb80cc41ea6cbfa3&fccid=28eefc5b86560831&vjs=3,28/10/2023
Analyste risque de crédit ( Banque ),Xpertize.MA,Région de Casablanca-Settat,None,Notre Client est une entreprise spécialisée dans les services du crédit Bail.-Participer au développement du dispositif IFRS9 en considération avec les…,https://ma.indeed.com/rc/clk?jk=e1bd4b761f8df539&fccid=0281e98ef17d6eb9&vjs=3,28/10/2023
FP&A ANALYST,TE Connectivity,Tanger Ibn Battouta Airport,None,Strong Excel knowledge and demonstrated data analytics.-This position is part of the Industrial & Commercial Transportation (ICT) Operations Finance Center of…,https://ma.indeed.com/rc/clk?jk=73cd6010c02afdf7&fccid=adb7c04d7caa1bd2&vjs=3,28/10/2023
Ingénieur BI,Xpertize.MA,Fès,None,"De formation BAC+5 minimum type école d'ingénieur ou autre (filière data), vous avez au moins une expérience de 2 ans en développement dans le domaine…",https://ma.indeed.com/rc/clk?jk=3f0aa8223e94e767&fccid=0281e98ef17d6eb9&vjs=3,28/10/2023
Administrateur de bases de données,Anapec,Casablanca,Permanent,"Caractéristiques du poste : - Recueil et extraction des sources de données pertinentes et de qualité qu’il traduit ensuite en données statistiques - Traitement,…",https://ma.indeed.com/rc/clk?jk=062c4876256a7798&fccid=b4e8cff3793d5ae4&vjs=3,28/10/2023
FP&A ANALYST,TE Connectivity,Tanger Ibn Battouta Airport,None,Strong Excel knowledge and demonstrated data analytics.-This position is part of the Industrial & Commercial Transportation (ICT) Operations Finance Center of…,https://ma.indeed.com/rc/clk?jk=73cd6010c02afdf7&fccid=adb7c04d7caa1bd2&vjs=3,28/10/2023
Business Analyst Confirmé,Capgemini,Casablanca,Permanent,Analyzing our clients' business processes and functional needs.-Writing requirement specifications and functional specifications.-Facilitating a team of users.,https://ma.indeed.com/rc/clk?jk=2c6ab10050a3611c&fccid=105ecfd0283f415f&vjs=3,28/10/2023
Data Science Officer,Atires Partners,Casablanca,Permanent,"Being the country-level point of contact on all data topics, to both increase data-driven approach locally, and ensure that data initiatives and capabilities…",https://ma.indeed.com/rc/clk?jk=e8d29117bd6fd8a0&fccid=03575caa10f57f32&vjs=3,28/10/2023
Analyste risque de crédit ( Banque ),Xpertize.MA,Région de Casablanca-Settat,None,Notre Client est une entreprise spécialisée dans les services du crédit Bail.-Participer au développement du dispositif IFRS9 en considération avec les…,https://ma.indeed.com/rc/clk?jk=e1bd4b761f8df539&fccid=0281e98ef17d6eb9&vjs=3,28/10/2023
Supply Chain Analyst,TE Connectivity,Tanger,None,"Respond to customer data requests e.g. packaging dimensions, weights, Country of Origin, MOQ/PPQ etc.-TE Connectivity's Distribution & Logistics Teams manage…",https://ma.indeed.com/rc/clk?jk=a7ef1e77f230f8c1&fccid=adb7c04d7caa1bd2&vjs=3,28/10/2023
Finance Analyst/Commercial,TE Connectivity,Tanger Ibn Battouta Airport,None,"Analysis and problem-solving skills, strong excel knowledge and demonstrated data analytics.-Responsible for providing financial analysis, guidance, and support…",https://ma.indeed.com/rc/clk?jk=d42d9f824af73b59&fccid=adb7c04d7caa1bd2&vjs=3,28/10/2023
Consultant BIG Data SENIOR,Docaposte,Casablanca,Permanent,Vous évoluez en qualité de consultant/développeur/data-analyste sur des projets de reporting et de visualisation de données métiers des clients de BOP.,https://ma.indeed.com/rc/clk?jk=9200fab61f92376a&fccid=9f9cb7f916010480&vjs=3,28/10/2023
IT Project - Product Manager,Procter & Gamble,Casablanca,Full-time,"Experience in advance analytics & big data,.-Previous experience/understanding in data models and visualization.-PMP Certification is a plus.",https://ma.indeed.com/rc/clk?jk=c4937bf1128ec895&fccid=2da0dedf6df97194&vjs=3,28/10/2023
Proxy Product Owner EMF / Watch - Budget 2023,Orange Business,Salé,None,"Notre équipe pluridisciplinaire est composée d’une dizaine de personnes, en grande partie basée à Rabat, dans laquelle se trouve un product owner, des Business…",https://ma.indeed.com/rc/clk?jk=fa3549c1c7ca2670&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
